Team,Context,Period,Avg_Minute,Std_Minute,SEM,IQR_Q1,IQR_Q3,Goal_Count,Total_Matches
Bielefeld,HOME,2,66.9375,17.074225214242276,4.268556303560569,51.5,82.25,16,7
Bielefeld,AWAY,1,26.444444444444443,11.737877907772672,3.9126259692575576,22.0,33.0,9,4
Bielefeld,AWAY,2,64.08333333333333,14.253920247575488,4.114752345972583,54.5,73.0,12,5
Braunschweig,AWAY,2,64.66666666666667,12.609520212918492,4.203173404306164,57.0,69.0,9,6
Braunschweig,HOME,1,23.454545454545453,12.840277538773346,3.871489345467209,13.5,34.0,11,6
Braunschweig,HOME,2,77.54545454545455,13.938175177286563,4.202517938664081,68.5,88.0,11,7
Braunschweig,AWAY,1,26.875,9.24951736192605,3.2701982246603074,20.5,34.5,8,5
Bochum,AWAY,1,16.77777777777778,13.77296062741938,4.59098687580646,7.0,17.0,9,4
Bochum,AWAY,2,75.06666666666666,14.06346160733382,3.6311701730154184,66.5,86.0,15,7
Bochum,HOME,2,66.875,13.238876732670983,4.680649756482228,59.5,74.0,8,5
Bochum,HOME,1,28.75,14.665313790418145,5.18497141471663,22.0,41.5,8,5
Darmstadt,HOME,1,25.6,14.59223537821856,4.614469994845923,13.5,36.25,10,5
Darmstadt,HOME,2,62.3,13.021776632497835,4.117847334065053,53.0,70.5,10,5
Darmstadt,AWAY,2,73.5,14.878294134867625,4.294993561924127,64.25,90.0,12,5
Darmstadt,AWAY,1,16.25,12.419742348374221,6.209871174187111,8.0,21.75,4,2
Dynamo Dresden,AWAY,1,21.615384615384617,15.60736183952123,4.32870333747029,9.0,37.0,13,7
Dynamo Dresden,AWAY,2,67.4,16.64131405067921,5.262445565830903,52.5,82.25,10,6
Dynamo Dresden,HOME,1,31.0,15.838470344611656,4.089475458272066,18.5,44.5,15,6
Dynamo Dresden,HOME,2,67.375,16.28265948793378,5.756789469834727,52.75,84.0,8,5
Dusseldorf,AWAY,1,32.142857142857146,15.323495809035347,5.791737018121147,27.0,43.5,7,5
Dusseldorf,AWAY,2,72.81818181818181,13.955774301830635,4.207824274368755,60.5,84.0,11,6
Dusseldorf,HOME,2,75.35714285714286,11.215423054246072,2.997447894051041,65.5,84.75,14,6
Dusseldorf,HOME,1,31.5,7.54983443527075,3.774917217635375,25.0,37.5,4,3
Elversberg,HOME,2,80.25,13.98131870487447,4.036059058942612,79.75,90.0,12,6
Elversberg,AWAY,2,75.9090909090909,11.202272496726238,3.377612242814429,66.0,84.5,11,5
Elversberg,HOME,1,26.428571428571427,16.06089601959931,6.070448100103848,15.5,40.5,7,4
Elversberg,AWAY,1,21.4,12.7558265553868,4.033746535308224,13.25,27.5,10,6
Greuther Furth,HOME,1,15.833333333333334,11.846237095944574,3.4197140881138655,7.5,25.75,12,6
Greuther Furth,HOME,2,75.36363636363636,14.651093660698011,4.417470949171807,62.5,90.0,11,6
Greuther Furth,AWAY,1,27.2,8.966604708583958,2.835489375751565,24.25,34.25,10,6
Greuther Furth,AWAY,2,73.875,14.507307004462927,2.961291641903208,62.75,88.5,24,7
FC Nurnberg,AWAY,2,78.91666666666667,12.056370125624902,3.48037426873965,73.75,90.0,12,7
FC Nurnberg,HOME,2,76.25,16.32482771731451,5.771698190307598,65.0,87.0,8,5
FC Nurnberg,AWAY,1,35.0,15.62964216755183,5.525912982097554,30.25,45.0,8,5
FC Nurnberg,HOME,1,27.166666666666668,14.770466027403018,6.030017505041848,21.25,38.25,6,3
Hannover 96,HOME,2,71.53333333333333,15.099038127673973,3.898554880815474,59.0,87.5,15,7
Hannover 96,AWAY,2,72.44444444444444,10.932876006695484,3.6442920022318277,62.0,82.0,9,5
Hannover 96,HOME,1,21.0,14.53075555994447,5.137397896100431,11.75,33.5,8,4
Hannover 96,AWAY,1,28.384615384615383,11.968976992893346,3.319596943286596,21.0,36.0,13,6
Hertha Berlin,AWAY,2,74.44444444444444,13.239251405490332,4.413083801830111,68.0,85.0,9,5
Hertha Berlin,AWAY,1,21.0,12.754084313139327,4.820590756130957,14.5,27.5,7,4
Hertha Berlin,HOME,1,27.0,17.131841699011815,7.661592523751182,13.0,38.0,5,4
Hertha Berlin,HOME,2,66.5,16.170961628796228,6.601767440112786,56.5,77.75,6,5
Holstein Kiel,AWAY,2,82.42857142857143,10.952277432222987,4.139571767921013,80.5,90.0,7,5
Holstein Kiel,AWAY,1,24.0,13.05543735171076,4.128491788104276,12.75,30.5,10,6
Holstein Kiel,HOME,1,29.6,10.237187113655782,4.578209256903839,22.0,35.0,5,3
Holstein Kiel,HOME,2,66.11111111111111,10.469532516359607,3.4898441721198687,57.0,71.0,9,6
Kaiserslautern,AWAY,2,67.21428571428571,15.413174042549901,4.119344036424229,54.25,82.0,14,7
Kaiserslautern,HOME,2,76.36363636363636,15.532370889678928,4.683186031427608,63.0,90.0,11,5
Kaiserslautern,AWAY,1,30.25,13.59840676942217,6.799203384711085,27.5,36.25,4,4
Kaiserslautern,HOME,1,21.916666666666668,14.132221940292933,4.07962107073783,10.0,30.25,12,5
Karlsruher SC,HOME,1,25.375,14.24216576628308,5.0353659960608335,14.75,35.0,8,5
Karlsruher SC,HOME,2,75.125,12.816005617976296,3.204001404494074,65.0,85.0,16,7
Karlsruher SC,AWAY,1,24.75,15.5540532154346,5.499188251785115,10.25,35.5,8,4
Karlsruher SC,AWAY,2,69.46153846153847,15.322181005628106,4.249608405210195,60.0,79.0,13,5
Magdeburg,HOME,2,77.75,11.060440015358038,2.7651100038395096,72.0,90.0,16,6
Magdeburg,AWAY,1,36.42857142857143,10.35788174704241,3.9149113160127778,32.5,43.5,7,4
Magdeburg,AWAY,2,73.625,15.819856419792726,5.593163875916487,61.5,88.5,8,5
Magdeburg,HOME,1,23.166666666666668,13.22749661374618,5.400102879678415,13.25,27.0,6,4
Paderborn,HOME,1,30.0,8.426149773176359,2.8087165910587863,26.0,36.0,9,5
Paderborn,HOME,2,70.41666666666667,16.549970246242598,4.777564888374231,54.5,85.5,12,6
Paderborn,AWAY,1,28.0,16.509737386507048,5.837073630804101,18.75,39.75,8,6
Paderborn,AWAY,2,74.0,14.071247279470288,5.744562646538029,62.0,86.0,6,5
Preuss. Munster,AWAY,1,23.0,12.14084016862095,3.6606010435446255,12.5,32.0,11,5
Preuss. Munster,AWAY,2,73.72727272727273,16.894323952682505,5.093830330705621,58.0,88.5,11,7
Preuss. Munster,HOME,2,65.66666666666667,10.957217076457237,3.163076114330875,59.5,72.5,12,6
Preuss. Munster,HOME,1,25.571428571428573,8.92295061171178,3.3725583256430047,20.5,27.5,7,6
Schalke 04,HOME,1,20.142857142857142,16.056448044618204,6.068766923584156,7.5,30.5,7,5
Schalke 04,HOME,2,78.66666666666667,8.453795991545258,3.4512477614786095,76.25,84.25,6,4
Schalke 04,AWAY,2,70.0,15.937377450509228,5.634713834792322,55.75,84.25,8,6
Schalke 04,AWAY,1,11.2,5.540758070878027,2.477902338672773,10.0,14.0,5,3
Angers,HOME,1,24.833333333333332,12.671490309614992,5.173114256529727,17.25,30.5,6,5
Angers,AWAY,2,66.5,14.47027604743216,4.575903068126431,54.25,70.0,10,5
Angers,HOME,2,71.875,12.100029515902607,4.278006461626055,68.0,78.25,8,5
Angers,AWAY,1,27.2,13.21741275741966,5.911006682452659,16.0,36.0,5,5
Auxerre,HOME,2,68.83333333333333,18.225440095280735,7.440504761849906,55.0,85.0,6,4
Auxerre,AWAY,1,20.666666666666668,12.658988901172163,4.2196629670573875,8.0,32.0,9,5
Auxerre,AWAY,2,64.11111111111111,13.090496977239296,4.363498992413098,55.0,72.0,9,5
Auxerre,HOME,1,33.5,14.798648586948742,7.399324293474371,26.0,45.0,4,4
Brest,HOME,1,20.0,13.225320068304242,3.8178210507772072,8.25,31.0,12,5
Brest,HOME,2,69.7,15.369883972669843,4.860384072615386,55.5,78.25,10,5
Brest,AWAY,2,72.16666666666667,14.134634016764593,4.0803173772379395,58.75,83.0,12,6
Brest,AWAY,1,25.666666666666668,12.639224659764539,4.2130748865881795,24.0,33.0,9,5
Le Havre,AWAY,2,74.92307692307692,13.561351570188586,3.761242188531464,67.0,88.0,13,5
Le Havre,AWAY,1,30.0,4.69041575982343,2.345207879911715,27.75,32.75,4,3
Le Havre,HOME,1,24.0,16.25576820700886,5.418589402336287,10.0,40.0,9,5
Le Havre,HOME,2,72.5,17.312258249988236,6.120807603109717,58.75,88.5,8,6
Lens,HOME,1,25.555555555555557,12.390632662530908,4.1302108875103025,17.0,28.0,9,6
Lens,AWAY,1,31.1,14.586523460601112,4.612663727898085,16.5,43.75,10,5
Lens,HOME,2,70.22222222222223,14.245857097572065,4.748619032524021,60.0,78.0,9,6
Lens,AWAY,2,73.625,15.013684234248243,5.308138966315245,60.75,87.75,8,5
Lille,AWAY,1,26.5,11.722993279387795,4.144704021829717,22.25,33.25,8,5
Lille,AWAY,2,72.3125,15.952925541521635,3.9882313853804088,59.75,87.25,16,7
